18102,['', '30/10/2022', '14:30', '', '1. FC Union Berlin', '', ' - ', '', 'Bor. Mönchengladbach', '', '', '-:- ', '', '', ' ', '']
18103,['', '', '16:30', '', 'FC Schalke 04', '', ' - ', '', 'SC Freiburg', '', '', '-:- ', '', '', ' ', '']
18104,['', '', '18:30', '', '1. FC Köln', '', ' - ', '', '1899 Hoffenheim', '', '', '-:- ', '', '', ' ', '']
18106,['', '04/11/2022', '19:30', '', 'Bor. Mönchengladbach', '', ' - ', '', 'VfB Stuttgart', '', '', '-:- ', '', '', ' ', '']
18107,['', '05/11/2022', '14:30', '', 'Borussia Dortmund', '', ' - ', '', 'VfL Bochum', '', '', '-:- ', '', '', ' ', '']
18108,['', '', '14:30', '', '1. FSV Mainz 05', '', ' - ', '', 'VfL Wolfsburg', '', '', '-:- ', '', '', ' ', '']
18109,['', '', '14:30', '', '1899 Hoffenheim', '', ' - ', '', 'RB Leipzig', '', '', '-:- ', '', '', ' ', '']
18110,['', '', '14:30', '', 'FC Augsburg', '', ' - ', '', 'Eintracht Frankfurt', '', '', '-:- ', '', '', ' ', '']
18111,['', '', '14:30', '', 'Hertha BSC', '', ' - ', '', 'Bayern München', '', '', '-:- ', '', '', ' ', '']
18112,['', '', '17:30', '', 'Werder Bremen', '', ' - ', '', 'FC Schalke 04', '', '', '-:- ', '', '', ' ', '']
18113,['', '06/11/2022', '14:30', '', 'Bayer Leverkusen', '', ' - ', '', '1. FC Union Berlin', '', '', '-:- ', '', '', ' ', '']
18114,['', '', '16:30', '', 'SC Freiburg', '', ' - ', '', '1. FC Köln', '', '', '-:- ', '', '', ' ', '']
18116,['', '08/11/2022', '17:30', '', 'VfL Wolfsburg', '', ' - ', '', 'Borussia Dortmund', '', '', '-:- ', '', '', ' ', '']
18117,['', '', '19:30', '', 'Bayern München', '', ' - ', '', 'Werder Bremen', '', '', '-:- ', '', '', ' ', '']
18118,['', '', '19:30', '', 'VfL Bochum', '', ' - ', '', 'Bor. Mönchengladbach', '', '', '-:- ', '', '', ' ', '']
18119,['', '', '19:30', '', 'VfB Stuttgart', '', ' - ', '', 'Hertha BSC', '', '', '-:- ', '', '', ' ', '']
18120,['', '09/11/2022', '17:30', '', '1. FC Köln', '', ' - ', '', 'Bayer Leverkusen', '', '', '-:- ', '', '', ' ', '']
18121,['', '', '19:30', '', 'RB Leipzig', '', ' - ', '', 'SC Freiburg', '', '', '-:- ', '', '', ' ', '']
18122,['', '', '19:30', '', '1. FC Union Berlin', '', ' - ', '', 'FC Augsburg', '', '', '-:- ', '', '', ' ', '']
18123,['', '', '19:30', '', 'Eintracht Frankfurt', '', ' - ', '', '1899 Hoffenheim', '', '', '-:- ', '', '', ' ', '']
18124,['', '', '19:30', '', 'FC Schalke 04', '', ' - ', '', '1. FSV Mainz 05', '', '', '-:- ', '', '', ' ', '']
18126,['', '11/11/2022', '19:30', '', 'Bor. Mönchengladbach', '', ' - ', '', 'Borussia Dortmund', '', '', '-:- ', '', '', ' ', '']
18127,['', '12/11/2022', '14:30', '', 'Bayer Leverkusen', '', ' - ', '', 'VfB Stuttgart', '', '', '-:- ', '', '', ' ', '']
18128,['', '', '14:30', '', '1899 Hoffenheim', '', ' - ', '', 'VfL Wolfsburg', '', '', '-:- ', '', '', ' ', '']
18129,['', '', '14:30', '', 'FC Augsburg', '', ' - ', '', 'VfL Bochum', '', '', '-:- ', '', '', ' ', '']
